epoch  bestFitness  averageFitness   worstFitness
1   7182,00  7765,08   8222,00
2   7182,00  7765,57   8264,00
3   7182,00  7764,75   8230,00
4   7182,00  7763,85   8318,00
5   7182,00  7764,32   8226,00
6   7182,00  7763,34   8222,00
7   7182,00  7763,45   8202,00
8   7182,00  7765,35   8168,00
9   7182,00  7764,78   8186,00
10   7182,00  7763,30   8222,00
11   7182,00  7762,84   8244,00
12   7182,00  7762,93   8222,00
13   7182,00  7764,14   8212,00
14   7182,00  7762,71   8200,00
15   7182,00  7763,02   8226,00
16   7182,00  7763,02   8186,00
17   7182,00  7763,84   8214,00
18   7182,00  7764,49   8236,00
19   7182,00  7765,20   8188,00
20   7182,00  7765,17   8220,00
21   7182,00  7767,71   8198,00
22   7174,00  7766,23   8184,00
23   7174,00  7766,61   8202,00
24   7174,00  7765,74   8216,00
25   7174,00  7767,14   8264,00
26   7174,00  7766,64   8202,00
27   7174,00  7767,06   8278,00
28   7174,00  7767,21   8202,00
29   7174,00  7766,52   8204,00
30   7174,00  7765,84   8214,00
31   7174,00  7764,75   8186,00
32   7174,00  7762,57   8202,00
33   7174,00  7761,33   8164,00
34   7174,00  7760,80   8154,00
35   7174,00  7763,38   8178,00
36   7174,00  7761,33   8182,00
37   7174,00  7762,76   8218,00
38   7174,00  7763,55   8206,00
39   7174,00  7762,42   8168,00
40   7174,00  7762,36   8228,00
41   7166,00  7760,21   8190,00
42   7166,00  7760,57   8204,00
43   7166,00  7760,75   8222,00
44   7166,00  7760,35   8180,00
45   7166,00  7760,55   8178,00
46   7166,00  7760,31   8182,00
47   7166,00  7764,23   8214,00
48   7126,00  7764,00   8214,00
49   7126,00  7764,29   8182,00
50   7126,00  7765,55   8206,00
51   7126,00  7764,46   8170,00
52   7126,00  7763,48   8178,00
53   7126,00  7765,63   8172,00
54   7126,00  7766,46   8216,00
55   7126,00  7765,83   8208,00
56   7126,00  7765,26   8168,00
57   7126,00  7766,03   8188,00
58   7126,00  7768,30   8172,00
59   7126,00  7765,45   8172,00
60   7126,00  7766,52   8164,00
61   7126,00  7768,50   8214,00
62   7126,00  7768,77   8196,00
63   7110,00  7770,10   8184,00
64   7110,00  7771,24   8222,00
65   7110,00  7770,01   8204,00
66   7110,00  7770,77   8172,00
67   7110,00  7769,32   8176,00
68   7110,00  7771,26   8198,00
69   7110,00  7771,62   8240,00
70   7110,00  7769,19   8240,00
71   7110,00  7767,76   8252,00
72   7110,00  7768,78   8198,00
73   7110,00  7767,89   8224,00
74   7110,00  7766,95   8224,00
75   7110,00  7766,67   8184,00
76   7110,00  7769,80   8238,00
77   7110,00  7770,04   8182,00
78   7110,00  7769,53   8240,00
79   7110,00  7772,46   8174,00
80   7110,00  7771,49   8228,00
81   7110,00  7771,39   8250,00
82   7110,00  7771,45   8198,00
83   7110,00  7770,83   8214,00
84   7110,00  7773,16   8214,00
85   7110,00  7773,00   8214,00
86   7098,00  7774,14   8198,00
87   7098,00  7775,63   8198,00
88   7098,00  7777,07   8218,00
89   7098,00  7775,80   8214,00
90   7098,00  7774,84   8202,00
91   7098,00  7775,41   8182,00
92   7098,00  7776,28   8200,00
93   7098,00  7775,87   8198,00
94   7098,00  7773,53   8196,00
95   7098,00  7773,20   8178,00
96   7098,00  7772,88   8200,00
97   7098,00  7772,18   8270,00
98   7098,00  7772,50   8206,00
99   7098,00  7771,91   8180,00
100   7098,00  7771,02   8192,00
